date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

# Invalid formats / separators
2011/01/03 | 5
20110103 | 5

# Invalid months/days
2011-13-01 | 5
2011-00-10 | 5
2011-02-29 | 5
1900-02-29 | 5
2027-01-01 | 5
-001-01-01 | 5

# Missing or malformed fields
2011-01-03 5
2011-01-03 |
 | 5
2011-01-03 | abc
2011-01-03 | 1000.1
2011-01-03 | -0.1
2011-01-03 | 1001
2011-01-03 | 5abc

# Invalid day for month
2011-02-30 | 5
2011-04-31 | 5
2011-06-31 | 5

# Numeric edge cases
2011-01-03 | 1e3
2011-01-03 | 1e4

# Valid control cases (should PASS)
2000-02-29 | 1000
2011-01-03 | 0
2011-01-03 | 999.999
